language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declarative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Polish,akceptować,accept,assessment,veridical,contradictory,redundant,always projective,0,always,incompatibile,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1.0,0,belief,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
Polish,zaprzeczać,deny,assessment,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0*,0,0,0,0,0,0,0,0,0,0
Polish,mieć nadzieję,hope,bouletic,neither,neither,neither,neither,0*,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,0,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Polish,modlić się,pray,bouletic,neither,neither,neither,neither,0,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,0*,,,,,,1*,1,0,0,0,0,0,0,0,0,0,0,0,1
Polish,woleć,prefer,bouletic,neither,neither,neither,,N/A but maybe 1,compatible,compatibile,compatibile,incompatibile,incompatible,always,always,incompatible,incompatible,1.0,0,,,,,,0,1,0,0,0,0,0*,1,0,0,0,0,0*,0
Polish,chcieć,want ,bouletic,neither,neither,neither,neither,1,compatible,compatible,compatible,compatible,incompatible,typically,always,incompatible,incompatible,1.0,1,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Polish,martwić się,be worried,bouletic: negative,neither,neither,neither,always projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,1,typically ignorance,1,0*,0*,1,1,0,1,1,1,1,1,0,1*,1*,1*,1*,1,1
Polish,bać się,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1.0,1,ignorance,1,0,0,1,1,0*,1,1,1,1,0,1,0,0,0,0,0,1
Polish,oznajmiać,announce,communication,neither,neither,neither,neither,0,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,0.0,0,neither,0,0,1,1,1,0,1,1,1,1,0,0*,0*,0*,0*,0*,0,0
Polish,spierać się,argue,communication,neither,neither,neither,neither,0,typically implies,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1.0,0,neither,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1*,1*
Polish,zapewnić,assert,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,twierdzić,claim,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,skarżyć się,complain,communication,neither,neither,neither,always projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1*,1
Polish,narzekać *,complain,communication,neither,neither,neither,always projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,1,always belief*,1*,1*,1*,1*,1,0,1*,1*,0,0,1*,0,0,0,0,0,1*,1
Polish,wyjaśniać,explain,communication,neither,neither,neither,always projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1.0,0,belief,0,1*,1*,0*,1,0*,1,1,1,1,1,0*,0*,0*,0*,0*,0,0
Polish,informować,inform,communication,neither,neither,neither,always projective,0,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,1.0,0,neither,0,0,1,1,1,0,1,1,1,1,1,0*,0*,0*,0*,0*,1*,0
Polish,powiedzieć,tell ,communication,neither,neither,neither,always projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0.0,0,neither,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Polish,wyszeptać,whisper,communication: manner of saying,neither,neither,neither,neither,0,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,0.0,0,neither,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0*
Polish,napisać,write,communication: manner of saying,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,typically incompatible,compatible,compatible,compatible,compatible,0.0,0,neither,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0*
Polish,zdecydować,decide,decision,typically,neither,typically redundant,neither,0,typically implies,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,1.0,0,typically belief,0,typically 1,1,1,1,1,1,1,1*,1*,1,0*,1,1,1,1,1*,0
Polish,rządać,demand,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,typically implies,compatible,compatible,1.0,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polish,rozkazywać,order,directive,typically,neither,typically redundant,neither,0,typically implies,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,1.0,0,,,,,,1*,1,0,0,0,0,0,1,0,0,0,0,0,0
Polish,proponować,propose,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,typically implies,compatible,compatible,1.0,0,,,,,,1*,1,0,0,0,0,0,1,0,0,0,0,1,0
Polish,zgadzać się (z kimś),agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,undecided,typically implies,compatible,compatible,compatible,typically incompatible,compatible,compatibile,compatibile,compatibile,0.0,0,,,,,,1,1,0*,0*,0*,0*,0*,1,0,0,0,0,0,0
Polish,założyć,assume,doxastic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,compatible,typically imples,compatible,compatible,compatible,1.0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,być pewnym,be certain,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incomatible,incompatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,być przekonanym,be convinced,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0,0,0,0,0,0*,0*,0*,0*,0,0
Polish,być nieświadomym,be unaware,doxastic,veridical,contradictory,redundant,projective *,0*,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1.0,0,ignorance,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
Polish,wierzyć,believe,doxastic,neither,neither,neither,neither,1,typically implies,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,0.0,1*,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,spodziewać się,expect,doxastic,neither,neither,neither,typically projective,0*,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,typically 1,1,typically 1*,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Polish,wiedzieć,know,doxastic,veridical,contradictory,redundant,projective *,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0.0,0,belief,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0*,0
Polish,podejrzewać,suspect,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,1.0,0,belief*,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Polish,myśleć,think,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0*,0*,0*,0*,0*,0,0*,0*,0*,0*,0,1
Polish,mieć rację,be right ,doxastic evaluative,veridical,contradictory,redundant,reversal,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0.0,0*,belief,0,1,1,1,1,1,1,1*,1*,1*,1*,0,0,0,0,0,0,0
Polish,mylić się,be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,projective,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,1.0,1*,belief,1*,0,1,1,1,0,1,1*,1*,1*,1*,0,0,0,0,0,0,0
Polish,zapomninać,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1.0,0,neither,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1*,0
Polish,dowiedzieć się,learn,doxastic: change of state,neither,neither,neither,neither,0,typically implies,compatible,compatible,compatible,typically incompatible,compatible,compatible,compatible,compatible,1.0,0,belief,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Polish,wątpić,doubt,dubitative,neither,neither,neither,neither,0,incompatible,always,incompatible,incompatible,compatible,typically implies,compatible,compatible,compatible,1.0,0,N/A*,,,,,1,1,0,0,1*,0,0,0,0,0,0,0,0,0*
Polish,być zadowolonym,be happy,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1.0,1,belief,1,1,1,1,1,0,1*,1*,0,0*,0,0,0,0,0,0,1*,1
Polish,być zaskoczonym,be surprised,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1.0,1,belief,1,1,1,1,1,0,1,1*,0,0,1,0,0,0,0,0,0,0
Polish,żałować,regret,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,pytać,ask,inquisitive,,,,,,,,,,,,,,,,,neither,0,,,,0,0,1,1,1,1,1,0,1,1,1,0,1,0
Polish,być ciekawym,be curious,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,,0,0,1,1,1,1,1,0,0,0,0,0,1,0*
Polish,dociekać,inquire,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,,0,0,1,1,1,1,1,0,1,1,1,0,1*,0
Polish,badać,investigate,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,,0,0,1,1,1,1,1,0,1,1,1,0,0,0
Polish,zastanawiać się,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,0*,,,,0,0,1,1,1,1,1,0,1,1,1,0,0,1
Polish,widzieć,see,perception,veridical,contradictory,redundant,projective,0,typically implies,compatible,compatble,compatible,typically incompatible,compatble,compatible,compatible,compatble,0.0,0,neither,0,1,1,1,1,0,1,1,1,1,0*,0,0,0,0,0,1,0
Polish,obchodzić,care,predicates of relevance,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,1.0,1,neither,1,0,0,1,1,0,1,1*,1,1,1,0,0*,0*,0*,0*,1*,0
Polish,udowodnić,prove,ratification,veridical,contradictory,redundant,neither,0,typically implies,compatible,compatible,typically implies,incompatible,compatible,compatible,compatible,compatible,1.0,0,belief,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
