language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite subjunctive declarative clause,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
catalan,acceptar,accept,assessment,always veridical,contradictory,redundant (look note),always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,undecided,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,?,?,*,*,?,*,compatible,?,?,*,??,compatible,not having an intransitive use
catalan,negar,deny (specific notes),assessment,typically anti-veridical,neither,neither,neither,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus-sensitive,undecided (look note),,,,,,?,compatible,*,*,*,*,*,*,compatible,*,*,*,*,* (not polar),not having an intransitive use
catalan,esperar,hope,bouletic,neither,neither,neither,neither,non-neg-raising,tipically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable (look note),,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an intransitive use
catalan,pregar,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,,,,,,*,compatible,*,*,*,*,*,*,?,*,*,*,*,*,not having an intransitive use (note)
catalan,preferir,prefer,bouletic,neither,neither,neither,neither,tipically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided,,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an instransitive use.
catalan,voler,want ,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided (afegir nota),,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an instransitive use.
catalan,preocupar-se,be worried ,bouletic: negative,neither,neither,neither,neither,non-neg-raising,tipically,compatible,compatible,incompatible,incompatible,always,incompatible,tipically,compatible,focus-sensitive,gradable,ignorance-implying ,gradable,Q-to-P anti-veridical,Q-to-P non distributive,P-to-Q non distributive,*,compatible,compatible,compatible,compatible,compatible,compatible,*,?,compatible,compatible,*,*,compatible,having an intransitive use
catalan,témer,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incomp,incomp,always,incomp,always,incomp,focus-sensitive,gradable,ignorance-implying ,gradable,neither,Q-to-P distributive,P-to-Q distributive,*,compatible,??,? (note),*,*,?,*,compatible,?,?,*,*,compatible,not having an intransitive use
catalan,anunciar,announce,communication,tipically veridical,neither,neither,always projective (ind/subj),non-neg-raising (ind/subj),typically ///,compatible,compatible,typically,compatible,compatibe,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,???,?,*,*,compatible,not having an intransitive use
catalan,argumentar,argue,communication,neither,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,undecided,neither,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,?,?,compatible,*,?,compatible,compatible,???,?,compatible,not having an intransitive use
catalan,asseverar,assert,communication,typically veridical,neither,neither ,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable (look note),always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,?,?,?,compatible,compatible,*,compatible,?,?,??,??,?,not having an intransitive use
catalan,afirmar,claim ,communication,typically veridical,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable (look note),always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,?,compatible,?,?,?,*,compatible,??,?,*,???,compatible,not having an intransitive use
catalan,queixar-se,complain,communication,always veridical,neither,neither,always projective (ind/subj),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,focus-sensitive (see partial-utterances scenarios),gradable,always/tipically belief-implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,compatible,compatible,*,???,compatible,*,??,??,*,*,*,compatible,having an intransitive use
catalan,explicar,explain,communication,typically veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,???,compatible,compatible,*,*,compatible,not having an instransitive use.
catalan,informar,inform,communication,always veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,*,*,???,?,*,*/compatible,*,compatible,not having an intransitive use
catalan,,tell,communication,,,,,,,,,,,,,,,,,,,,,,compatible,,,,,,,,,,,,,,
catalan,xiuxiuejar,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,*,*,compatible,*,*,compatible,compatible,*,*,compatible,having an intransitive use
catalan,escriure,write,communication: manner of saying,neither (note),neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,neither,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,*,*,compatible,having an intransitive use
catalan,decidir,decide,decision,neither,neither,neither,neither,non-neg-raising,tipically,incompatible (note),compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
catalan,exigir,demand,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible (note),compatible,typically,compatible,compatible,always,incompatible,incompatible,focus-sensitive,undecided,,,,,,*,compatible,*,*,*,*,*,*,compatible,???,???,*,*,*,not having an intransitive use
catalan,ordenar,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible (note),compatible,typically,compatible,compatible,always,incompatible,incompatible,focus-sensitive,ungradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,?,?,*,*,*,not having an intransitive use
catalan,proposar,propose,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,compatible (note),compatible,always,incompatible,incompatible,focus-sensitive,non-gradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,compatible,compatible,*/?,*,*,not having an intransitive use
catalan,estar d'acord,agree (with each other),doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,?,?,?,?,?,compatible,*,compatible,?,?,?,?,compatible,having an intransitive use
catalan,suposar,assume** (look at note excel),doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,non-gradable,neither,Typically Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,??,??,compatible,*,*,*,*,*,*,compatible,not having an intransitive use
catalan,estar segur,be certain,doxastic,typically veridical,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,compatible,*,compatible,compatible,?,?,?,compatible,not having an intransitive use
catalan,estar convençut,be convinced,doxastic,typically veridical,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,*,compatible,*,compatible,compatible,?,?,*,compatible,not having an intransitive use
catalan,desconèixer,be unaware,doxastic,always veridical,contradictory,redundant,neither (subj)/typically projective (ind),non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral between belief and ignorance,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,?,compatible,?,*,*,compatible,not having an intransitive use
catalan,creure,believe,doxastic,neither,neither,neither,neither,neg-raising (see notes (ind/subj)),always,incomp,incomp,incompatible,incompatible,always,compatible,compatible,typical,not-focus sensitive,non-gradable,,,,,,compatible,*,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an intransitive use
catalan,,expect,doxastic,,,,,,,,,,,,,,,,,,,,,,compatible,,,,,,,,,,,,,,
catalan,saber,know,doxastic,always veridical,contradictory,redundant ,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,*,compatible,compatible,not having an intransitive use
catalan,sospitar,suspect,doxastic,neither,neither,neither,neither (subj)/always projective (ind),non-neg-raising (subj and ind),always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,undecided,neither,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,*,*,compatible,*,compatible,*,*,*,*,???,not having an intransitive use
catalan,pensar,think,doxastic,neither,neither,neither,neither (subj)/always projective (ind),non-neg-raising (ind)/ typically neg-raising (subj),always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,undecided,N/A/neutral between belief and ignorance(prog) (see note),N/A/undecided(prog),N/A/neither(prog),N/A/Q-to-P non distributive (prog),N/A/P-to-Q non distributive (prog),compatible,*,*/?(prog),*/?(prog),*/?(prog),*/?(prog),compatible/compatible (prog),*,compatible,compatible/compatible (prog),compatible/compatible(prog),compatible/compatible(prog),compatible/compatible(prog),*,not having an intransitive use
catalan,tenir raó,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,undecided,always (see note),incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,always belief implying,ungradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,??,compatible,compatible,compatible,?,compatible,*,??,?,compatible,???,???,compatible,having an intransitive use
catalan,equivocar-se,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,undecided,always (see note),incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,always belief implying,gradable,Q-to-P anti-veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,?,compatible,compatible,*,*,compatible,having an intransitive use
catalan,oblidar,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus-sensitive,ungradable,neutral between belief and ignorance,ungradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,*,*,compatible,not having an intransitive use
catalan,aprendre,learn,doxastic: change of state,typically veridical (see note),neither (see note),neither (see note),typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,ungradable,always belief implying,ungradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,*,*,compatible,not having an intransitive use
catalan,dubtar,doubt,dubitative,neither,neither,neither,neither,neg-raising,incompatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,gradable,neutral between belief and ignorance,gradable (see note),Q-to-P anti-veridical,Q-to-P non distributive,P-to-Q non distributive,??,compatible,?,*,compatible,compatible,*,*,?,??,??,compatible,compatible,*,not having an intransitive use
catalan,estar content,be happy,emotive factive,always veridical,contradictory,redundant,always projective (ind/subj),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,always belief implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,?,compatible,compatible,?,*,*,*,*,compatible,?,??,*,*,compatible,having an intransitive use
catalan,estar sorprès,be surprised,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,?,compatible,compatible,compatible,???,*,*,*,compatible,*,*,*,*,compatible,not having an intransitive use
catalan,lamentar,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,always belief implying.,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,*,compatible,?,?,*,*,compatible,*,compatible,*,*,*,*,compatible,not having an intransitive use
catalan,preguntar,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,*,compatible,compatible,compatible,compatible,compatible,*,*,?,?,compatible,??,?,compatible,not having an intransitive use
catalan,tenir curiositat,be curious,inquisitive,,,,,,,,,,,,,,,,,always ignorance implying,gradable,,,,*,compatible,compatible,?,compatible,compatible,?,*,compatible,???,??,*,*,compatible,not having an intransitive use (see note)
catalan,indagar,inquire,inquisitive,,,,,,,,,,,,,,,,,always ignorance implying,undecided,,,,*,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
catalan,investigar,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,undecided (note),,,,*,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
catalan,preguntar-se,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance-implying,non-gradable,,,,*,*,compatible,compatible,compatible,compatible,compatible,*,* (note),compatible,compatible,?,compatible,compatible,not having an intransitive use
catalan,veure,see,perception,always veridical,contradictory,redundant,always projective (ind)/typically reversive (subj),non-neg-raising(ind)/ neg-raising (subj),always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus-sensitive,non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,*,?,?,*,*,compatible,not having an intransitive use 
catalan,importar,care,predicates of relevance,typically veridical (see note),contradictory,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,typically ignorance-implying (see note),gradable,neither,Q-to-P non distributive,P-to-Q non distributive (see note),*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,??,?,compatible,not having an intransitive use
catalan,demostrar,prove,ratification,always veridical,contradictory,redundant,neither(subj)/always projective(ind),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,undecided (see note),non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,???,???,*,*,compatible,not having an intransitive use
catalan,dir,say,,typically veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising (see note),typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus-sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,?,compatible,not having an intransitive use
catalan,assumir,assume,doxastic + emotional reading,typically veridical,neither,neither,always projective (ind/subj),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,typically,compatible,not-focus sensitive,undecided,always belief implying,non-gradable,neither,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,*,*,*,*,compatible,?,??,*,*,compatible,not having an intransitive use
catalan,preveure,expect,doxastic reading,neither,neither,neither,neither,typically neg-raising (see note),always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,ungradable,always belief implying (see note),non-gradable,neither,Q-to-P distributive ,P-to-Q distributive ,compatible,compatible,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,compatible,compatible,not having an intransitive use
