language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
turkish,kabul et,accept,assessment,typically veridical,neither,neither,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,typically,always Q-to-P distributive,typically P-to-Q distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,ok,*`,*,*,*,ok,no
turkish,inkar et,deny,assessment,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,always Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,*,*`,*,*,*,ok,no
turkish,um,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable*,ignorance**,yes/undecided*,neither*,Q-to-P non-distributive,P-to-Q non-distributive,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,,pray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,dile,wish,bouletic,neither*,neither,slightly odd,neither,neg-raising-like,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,tercih et,prefer,bouletic,neither,neither,neither,neither,neg-raising-like,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable/undecided,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,iste,want ,bouletic,typically anti-veridical*,neither,slightly odd,neither,neg-raising,compatible,compatible,compatible,compatible/dispreferred,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,endişelen,worry ,bouletic: negative,neither,neither,neither*,can be projective,non-neg-raising,compatible,compatible,compatible,compatible/dispreferred,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither*,typically Q-to-P distributive,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,-DIK and perhaps also -mA nomiN/Alizations,only -DIK,diye ok,diye ok,ok,*`,*,?,*,ok,yes
turkish,,be worried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
turkish,kork,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,"-DIK: typically, -mA: compatible",compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither,typically Q-to-P,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,??,only -DIK,diye ok,diye ok,ok,*,*,?,*,ok,yes
turkish,ilan et,announce,communication,neither,neither,slightly odd,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive*,non-gradable,typically belief,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,*diye,*diye,*,*,*,*,*,ok,no
turkish,savun,argue (=defend),communication,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable*,typically belief,non-gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,?,?,*diye,*diye,?,*,*,*,*,ok,no
turkish,,assert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,de,say,,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance entailing and typically belief entailing*,non-gradable,"neither, Q-to-P veridical nor Q-to-P anti-veridical under one reading and typically Q-to-P veridical under the other","Q-to-P non-distributive under one reading, always Q-to-P distributive under the other","P-to-Q non-distributive under one reading, and always P-to-Q distributive under the other",ok,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,iddia et,claim,communication,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,undecided,typically belief implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,ok,?,?,?,?,,,*,*,*,*,*,*,no
turkish,şikayet et,complain 1,communication,typically veridical,typically contradictory,typically redundant,projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,undecided,typically belief implying,undedcided,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,??,??,*,*,*diye,*diye,ok,*,*,*,*,ok/#,no
turkish,sikayetçi ol,complain 2,,neither,neither,neither,projective,non-neg-raising,typically,compatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,focus sensitive,gradable*,always belief implying,gradable*,typically Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,?,??,*diye,*diye,ok,*,*,??,*,ok/#,yes
turkish,açıkla,explain,communication,neither,neither,slightly odd,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable*,typically belief,non-gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,*diye,*diye,??,*,*,??,*,ok,no
turkish,bildir,inform,communication,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,typically belief,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,*diye,*diye,*,*,*,*,*,ok,no
turkish,söyle,tell ,communication,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief,non-gradable,typically,always,always P-to-Q distributive*,ok,ok,ok,ok,ok,*diye,*diye,*,*,*,*,*,ok,no
turkish,fısılda,whisper,communication: manner of saying,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,"depends on complement: typically belief entailing with -dIk questions, typically ignorance entailing with diye questions",non-gradable,depends on complement: typically Q-to-P veridical with -dIk nomiN/Alizations; neither with diye.,depends on complement: always Q-to-P distributive with -dIk nomiN/Alizations; not Q-to-P distributive with diye.,depends on complement: always P-to-Q distributive* with -dIk nomiN/Alizations; not P-to-Q distributive with diye.,ok,ok,ok,ok,ok,diye,diye,*,*,*,*,*,ok,yes
turkish,yaz,write,communication: manner of saying,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,"depends on complement: typically belief entailing with -dIk questions, typically ignorance entailing with diye questions",non-gradable,depends on complement: typically Q-to-P veridical with -dIk nomiN/Alizations; neither with diye.,depends on complement: always Q-to-P distributive with -dIk nomiN/Alizations; not Q-to-P distributive with diye.,depends on complement: typically P-to-Q distributive with -dIk nomiN/Alizations; not P-to-Q distributive with diye.,ok,ok,ok,ok,ok,diye,diye,?,*,*,?,*,ok,yes
turkish,karar ver + mA,decide (directive),decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,incompatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,N/A*,,,,,-mA and diye ok,-mA * diye ??,-mA * diye ??,-mA ?? diye ??,-mA * diye ??,,,ok,*,*,?,*,ok,if habitual
turkish,karar ver + dIk,decide (conclude),,neither,neither,neither,neither,non-neg-raising,typically,incompatible*,compatible*,compatible,incompatible*,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief implying*,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,-DIK and diye ok,-DIK  ok diye ??,-DIK  ok diye ??,-DIK  ok diye ??,-DIK  ok diye ??,,,,,,,,,if habitual
turkish,,demand,directive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,emret,order,directive,neither,neither,neither,neither,neither,typically,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,ok,*,*,??,*,,,*,*,*,*,*,*,no
turkish,öner + mA,propose,directive,neither,neither,neither,neither,neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,N/A*,,,,,ok,-mA * diye ??,-mA * diye ??,-mA * diye ??,-mA * diye ??,,,ok,*,*,??,*,ok,no
turkish,öner + dIk,propose,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,typically belief implying,non-gradable,neither Q-to-P veridical nor Q-to-P anti-veridical,always,always P-to-Q distributive,ok,ok,ok,??,ok,,,,,,,,ok,no
turkish,katıl- + dIk,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],,typically veridical*,typically contradictory*,neither,can be projective*,non-neg-raising*,always*,incompatible*,incompatible*,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive*,undecided*,always belief implying,undecided*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,,,,,,ok,no*
turkish,katıl- + mA,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,typically veridical*,neither,neither,can be projective*,non-neg-raising*,always/compatible*,incompatible/compatible,incompatible/compatible,always/compatible*,incompatible/compatible,compatible/compatible,always*,compatible,compatible,focus sensitive,gradable*,N/A*,,,,,ok,*,*,??,*,,,ok,*,*,??,*,ok?,no*
turkish,varsay-,assume,doxastic,neither,neither,neither,neither,non-neg-raising*,typically,compatible*,compatible*,compatible*,compatible*,typically,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying*,non-gradable,Q-to-P non-veridical,always Q-to-P distributive,always P-to-Q distributive,ok,*,*,*,*,,,*,*,*,*,*,*,no
turkish,emin ol,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always*,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,ok,?,?,?,?,,,*,*,*,*,*,ok,no*
turkish,ikN/A ol-,be*come* convinced,doxastic,neither,neither,neither,can be projective,non-neg-raising,always,incompatible,incompatible,always*,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable*,always belief implying,gradable*,always veridical,always,always P-to-Q non-distributive,ok,ok,ok,ok,ok,,,ok,*,*,ok,??,ok,no
turkish,farkinda ol,be aware,,always,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive*,gradable*,always belief implying,gradable*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,farkinda olma-,be uN/Aware,doxastic,typically veridical,contradictory,neither,always projective,undecided*,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable* more uN/Aware/less aware,typically ignorance implying,gradable*,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,,,*,*,*,*,*,ok,yes (idiomatic)
turkish,san-,believe 1 (think),doxastic,typically anti-veridical,neither,odd,neither,neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive*,not gradable,,,,,,ok,*,*,*,*,,,*,*,*,*,*,*,no
turkish,iN/An-,believe 2 (trust),doxastic,neither,neither,neither,can be projective,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive*,gradable,always belief*,gradable*,always Q-to-P veridical*,always Q-to-P distributive*,P-to-Q non-distributive*,ok,ok,ok,?,?,,,?,*,*,*,*,ok,no
turkish,bekle-,expect,doxastic,neither,neither,neither,neither,neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible*,compatible*,compatible*,not focus sensitive,not gradable/undecided,,,,,,ok with -mA nmzs,*,*,*,*,,,ok,*,*,*,*,*,no
turkish,bil- + nomiN/Alization,know,doxastic,typically veridical,neither*,neither*,typically projective,not neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,not gradable,always belief implying,not gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,,,??,*,*,*,*,ok,no
turkish,bil- + diye clause,know,doxastic,neither,neither*,neither*,typically non-projective,not neg-raising*,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,not gradable,,,,,,ok,??,??,??,??,,,,,,,,,no
turkish,şüphelen-,suspect,doxastic,neither,neither,neither,can be projective,not neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,,,,,ok,*,*,*,*,,,*,*,*,*,*,#,no
turkish,düşün-,think,doxastic evaluative,neither,neither,neither,neither*,can be neg-raising*,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided/not gradable,always ignorance implying,not gradable,neither,neither,neither,ok,ok,ok,ok,ok,,,ok,*,*,??,*,ok,yes
turkish,haklı ol-,be right ,doxastic evaluative,always veridical,contradictory,neither,typically reversive,not neg-raising*,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided*,always belief implying,undecided*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,ok,*,*,?,*,ok,yes
turkish,yanıl-,be wrong,doxastic: change of state,always anti-veridical,neither,contradictory,typically projective,not neg-raising*,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,undecided*,always belief implying,undecided*,always Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,?,*,*,?,*,ok,yes
turkish,unut,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,not neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,not gradable,always ignorance,not gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,ok,*,*,??,*,ok,no
turkish,öğren-,learn = find out,dubitative,typically veridical,typically contradictory,typically redundant,typically projective,not neg-raising,typically,compatible*,compatible*,compatible,compatible*,compatible*,compatible,compatible,compatible,focus sensitive,not gradable,always belief implying*,not gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,öğren-,"learn, e.g., at school",,neither,neither,slightly odd,can be projective,not neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,not gradable*,neither belief nor ignorance implying,not gradable*,neither Q-to-P veridical nor Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,ok,ok,,,ok,*,*,??,??,ok,yes
turkish,şüpheli ol-,doubt,emotive factive,neither,neither,neither/odd*,neither,not neg-raising,incompatible,typically,compatible`,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,gradable*,belief*,gradable*,undecided*,always Q-to-P distributive*,P-to-Q non-distributive*,ok,*,*,ok,*,,,*,*,*,*,*,ok,no*
turkish,sevin-,rejoice,,typically veridical,neither,neiither/odd*,typically projective,not neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,*,*,,,*,*,*,*,*,ok,yes
turkish,şaşır-,be surprised,emotive factive,typically veridical,neither,neiither/odd*,typically projective,not neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,*,*,,,*,*,*,*,*,ok,yes
turkish,pişman ol-,regret,inquisitive,typically veridical,neither,odd,typically projective,not neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,ok,ok,ok,*,*,,,*,*,*,*,*,*/#,yes
turkish,sor-,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,not gradable,,,,*,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,,be curious,inquisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,,inquire,inquisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,araştır-,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,gradable,,,,*,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,merak et-,wonder,perception,,,,,,,,,,,,,,,,,always ignorance implying,gradable,,,,*,ok,ok,ok,ok,,,ok,*,*,??,*,ok,no
turkish,gör- + nomiN/Alization,see,predicates of relevance,typically veridical,neither / odd,neither,can be projective with nomiN/Alizations,not neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive*,not gradable,typically belief implying,not gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,gör- + diye clause,see,predicates of relevance,neither,neither,neither,neither,not neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive*,not gradable,,,,,,ok,??,??,??,??,,,,,,,,,no
turkish,umursa-,care,ratification,always veridical*,always contradictory,typically odd,always projective,not neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,neither belief nor ignorance implying,gradable,not Q-to-P veridical,not Q-to-P distributive,always P-to-Q distributive,?,ok,ok,ok,ok,,,*,*,*,*,*,ok,no
turkish,kanıtla,prove,,typically veridical,neither*,typically odd,can be projective,not neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive*,not gradable,typically belief implying,not gradable,typically Q-to-P veridical*,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,,,*,*,*,*,*,?/ok,no
