predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,gradability ex,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,Intransitive use,finite declarative clause: to,finite declarative clause: no,finite declarative clause: koto,finite declarative clause: tokoro,finite declarative clause: hoo,Finite d-linked constituent interrogative clause: to,Finite d-linked constituent interrogative clause: ka,finite non-d-linked constituent interrogative clause: to,finite non-d-linked constituent interrogative clause: ka,finite polar interrogative clause: to,finite polar interrogative clause: ka,finite alternative interrogative clause: to,finite alternative interrogative clause: ka,non-finite declarative clause without subject,concealed q
認める mitome-ru,accept,assessment,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
否定する hitee suru,deny,assessment,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
望む nozom-u,hope,bouletic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
祈る inor-u,pray,bouletic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
好む konom-u,prefer,bouletic,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,unacceptable,acceptable,"acceptable
",incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
たい -tai / 欲しい hosi-i,want,bouletic,neither,neither,neither,neither,typicalle neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
心配する sinpai suru,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
恐れる osore-ru,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
発表する happyoo suru,announce,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
論じる ronzi-ru,argue,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
断言する dangen suru,assert,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
主張する syutyoo suru,claim,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,?,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,??
文句を言う monku-o i-u,complain,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable
説明する setumee suru,explain,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
知らせる sir-ase-ru,inform,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
伝える tutae-ru,tell,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
囁く sasayak-u,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
書く kak-u,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,??,acceptable,"compatible
",acceptable,"acceptable
",acceptable,"acceptable
",acceptable,"acceptable
",acceptable,acceptable,acceptable,acceptable,acceptable
決める  kime-ru,decide,decision,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,"unacceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
要求する yookyuu suru,demand,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
命令する meeree suru,order,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
提案する teean suru,propose,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
一致する itti suru,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,neutral,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,??
仮定する katee suru,assume,doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
","acceptable
",unacceptable,acceptable,unacceptable,acceptable
確信する kakusin suru,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,undecided,,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
確信する kakusin suru,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,undecided,,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
知らない sir-ana-i,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,,neutral,gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,??,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
信じる sinzi-ru,believe,doxastic,neither,neither,neither,neither,typicalle neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,non-focus-sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,"acceptable
",unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
期待する kitai suru,expect,doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
知っている sit-tei-ru,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,always belief-implying,non-gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,??,unacceptable,acceptable,unacceptable,acceptable,"acceptable

",acceptable,unacceptable,acceptable,unacceptable,acceptable
疑う utaga-u,suspect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,,neutral,undecided,neutral,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
思う omo-u,think,doxastic,neither,neither,neither,neither,typicalle neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,acceptable,"acceptable
",incompatible,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable

",unacceptable,acceptable,unacceptable,acceptable,unacceptable
正しい tadasi-i,be right,doxastic evaluative,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,acceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
間違う matiga-u,be wrong,doxastic evaluative,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,acceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
忘れる forget,forget,doxastic: change of state,typically veridical,neither,"neither
",typically projective,non-neg-raising,comaptible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,always ignorance-implying,non-gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,unacceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable
",unacceptable,acceptable,unacceptable,acceptable
知る sir-u,learn,doxastic: change of state,typically veridical,"neither
","neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,always belief-implying,non-gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
疑う utaga-u,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,incompatible,acceptable,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,unacceptable,incompatible
嬉しい uresi-i,be happy,emotive factive,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,,always belief-implying,gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable
",unacceptable,acceptable,unacceptable,unacceptable
驚く odorok-u,be surprised,emotive factive,neither,neither,"neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,,always belief-implying,gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,"acceptable

",acceptable,unacceptable,??,unacceptable,acceptable
後悔する kookai suru,regret,emotive factive,neither,neither,"neither
",typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,,always belief-implying,gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,?,acceptable,acceptable?,"acceptable

",?,unacceptable,?,unacceptable,?
聞く kik-u　訊く,,inquisitive,neither,neither,neither,neither,non-neg-raising,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,focus-sensitive,non-gradable,,neutral,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,"acceptable
",incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,acceptable,acceptable,unacceptable,acceptable
興味を持つ kyoomi-o mot-u,be curious,inquisitive,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,acceptable,acceptable,acceptable,acceptable,??,acceptable,acceptable,acceptable,unacceptable,acceptable
尋ねる tazune-ru,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,neutral,non-gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
調べる sirabe-ru,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,neutral,non-gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,"unacceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
不思議に思う husigi-ni omo-u,wonder,inquisitive,neither,neither,"neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,,neutral,gradable,netural,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
見る mi-ru,see,perception,typically veridical,"neither
","neither
",neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,N/A,N/A,N/A,unacceptable,"acceptable
",acceptable,"acceptable 
",compatible,"acceptable
",unacceptable,acceptable,unacceptable,acceptable,"acceptable
","acceptable
",unacceptable,acceptable,unacceptable,acceptable
気にする ki-ni suru,care,predicates of relevance,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,,neutral,gradable,neutral,Q-to-P non-distributive,P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
証明する syoomei suru,prove,ratification,"neither
","neither
",neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,neutral,non-gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable