consultant_id,Italian Predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,1. finite declarative clause,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
ita1,accettare,accept,assessment,typically veridical ,neither,redundant,typically projective ,non-neg-raising,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,yes ,no intransitive use 
ita1,negare,deny,assessment,neither,neither,neither,neither,non-neg-raising *** ,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,sperare,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,pregare,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,"no intransitive use / unless ""pray"" in a religious sense"
ita1,preferire,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no  *** ,no,yes  ,no,no,no,no,no,no intransitive use 
ita1,volere,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always ,incompatible,incompatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,essere preoccupat* / preoccuparsi ,be worried,bouletic: negative,neither***,neither,neither ,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus-sensitive,gradable,"neutral / typically belief implying (comment: to be worried, you need to be opposed, and to find something likely. If the thing is unlikely, you wouldn't be worried about it.",gradable,neither,"always Q-to-P distributive (you always seem to have an answer in mind---""worried what i should wear -> i'm worried that i'll have to wear high heels"")",always P-to-Q distributive,yes,yes,yes,no,no,yes,no,no,no,no,yes ,intransitive use
ita1,temere,fear,bouletic: negative,neither***,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no ***,no,no,yes,no,no,no,no,yes?,no intransitive use 
ita1,annunciare,announce,communication,typically veridical*** ,neither,redundant,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,?,???,???,yes,yes,yes,no,no ,yes ,no intransitive use 
ita1,argomentare ,argue,communication,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable
ita1,affermare,assert,communication,neither,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,sostenere,claim,communication,neither,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,undecided,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,lamentarsi,complain***  [neg],communication,always veridical,contradictory,redundant,always projective,non-neg-raising,typically,incompatible,compatible ,typically,incompatible,compatible,incompatible,always,incompatible,focus-sensitive,gradable ,always belief-implying *** ,gradable,always Q-to-P veridical ***,always Q-to-P distributive ***,always P-to-Q distributive ***,yes ,??,??,no,no,yes,no,no,no,no,yes,intransitive use 
ita1,spiegare,explain,communication,typically veridical***,neither*** ,redundant,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,undecided***,always belief-implying,undecided***,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no intransitive use 
ita1,comunicare/informare,inform,communication,typically veridical***,neither,redundant,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying*** ,non gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes***,yes,yes?,yes?,yes,yes,yes,?,?,yes,no intransitive use 
ita1,raccontare,tell ,communication,typically veridical ,neither,redundant ***,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,no,no,no,no,yes,no intransitive use 
ita1,sussurrare ,whisper,communication: manner of saying,neither***,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes?,??,??,no,no,yes?,??,??,no,no,yes,intransitive use
ita1,scrivere,write,communication: manner of saying,typically veridical ,neither,redundant *** ,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes ,yes ,yes,yes ,yes,?,?,yes,no intransitive use 
ita1,decidere,decide,decision,neither  ,neither,neither,neither,non-neg-raising,typically,compatible,compatible ,typically,incompatible,compatible,typically,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical***,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,yes?,yes,yes,yes,yes,yes?,yes,yes,no intransitive use 
ita1,esigere,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible ,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable***,not applicable,not applicable,not applicable,not applicable ,not applicable,yes, no,no,no,no,yes,no,no,no,no,no,no intransitive use
ita1,ordinare,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,incompatible,compatible,focus-sensitive,non gradable,non applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,yes?,yes?,no,no,no,no intransitive use
ita1,proporre,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible ,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,yes,yes,no,no,no,no intransitive use
ita1,essere d'accordo (su),agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,gradable ,always belief-implying,gradable ,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,no,??,yes,yes,yes,yes?,yes?,yes,intransitive use
ita1,supporre ,assume,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible ,compatible,incompatible,typically,compatible,compatible,compatible,not-focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,essere cert*,be certain,doxastic,typically veridical ,neither ,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,no,no,yes?,no intransitive use 
ita1,essere convint* ,be convinced,doxastic,typically veridical ,neither  ,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,no,no,yes?,no intransitive use 
ita1,essere inconsapevole,be unaware,doxastic,always veridical ,contradictory  ,redundant   ,always projective ,non-neg-raising,compatible,compatible,compatible ,incompatible ,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided ,always ignorance-implying <- neutral,undecided,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,no***,no***,yes,?,?,no,no,yes,no intransitive use 
ita1,credere,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not-focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,aspettarsi ,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,yes?,no intransitive use
ita1,sapere ,know,doxastic,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,undecided,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no intransitive use 
ita1,sospettare ,suspect,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,gradable ,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,pensare ,think,doxastic,neither,neither,neither,neither,tipically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not-focus-sensitive,undecided,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no***,no***,no,no,yes,no***,no,no***,no,no,no intransitive use 
ita1,avere ragione ,be right,doxastic evaluative,always veridical ,contradictory,redundant,typically reversive,undecided (predicate specific notes),typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,??***,yes,yes,???,???,?? ,??,??,???,???,yes,intransitive use 
ita1,sbagliarsi ,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,typically projective ,undecided (predicate specific notes),typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,undecided,always Q-to-P anti veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,??,??,?? ,??,??,no,no,yes,intransitive use 
ita1,dimenticarsi ,forget,doxastic: change of state,always veridical ,contradictory,redundant,always projective ,non-neg-raising,compatible,compatible,compatible ,incompatible ,"incompatible <- changes to ""compatible""",always,compatible,compatible,compatible,focus-sensitive,non gradable,typically ignorance-implying / neither,non gradable,always Q-to-P veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes?,yes,yes,yes?,yes?,no,no,yes,no intransitive use 
ita1,apprendere ,learn,doxastic: change of state,typically veridical ,neither,redundant*** ,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non gradable,typically Q-to-P veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes?,yes?,???,no,yes,???,???,no,no,yes,no intransitive use
ita1,dubitare ,doubt,dubitative,neither,neither,neither,neither,typically neg-raising,incompatible,typically,compatible ,incompatible ,typically,compatible,compatible,compatible,compatible,focus-sensitive,gradable,U (neutral),gradable,neither,Q-to-P non ditributive,typically P-to-Q distributive ,yes,yes?,yes?,no,no,yes,no***,no***,no***,no***,no***,no intransitive use 
ita1,essere content*,be happy,emotive factive,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,always belief-implying ***,gradable ,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes?,yes?,no,no,yes,no,no,no,no,yes,intransitive use 
ita1,essere sorpres*,be surprised,emotive factive,always veridical ,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,no,no,yes,no,no,no,no,yes,no intransitive use 
ita1,rimpiangere/rammaricarsi,regret,emotive factive,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive*** ,gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,???,???,no,no,yes,no,no,no,no,yes (only rammaricarsi) ,no intransitive use (both)
ita1,chiedere ,ask,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,typically ignorance implying,undecided,not applicable,not applicable,not applicable,no (different meaning),yes,yes,yes,yes,no (different meaning),yes,yes,yes,yes,yes,no intransitive use 
ita1,essere curios*,be curious,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying*** (di sapere),gradable *** (di sapere),not applicable,not applicable,not applicable,no,yes?,yes?,yes?,yes?,yes,no,no,no,no,yes,no intranstive use*** 
ita1,domandare,inquire,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,typically ignorance implying,undecided,not applicable,not applicable,not applicable,no (different meaning),yes,yes,yes,yes,no (different meaning),yes?,yes?,yes?,yes?,yes,no intransitive use 
ita1,indagare,investigate,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying,gradable *** ,not applicable,not applicable,not applicable,no,yes,yes,no***,no***,no,??,??,no,no,yes,no intransitive use 
ita1,chiedersi,wonder,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying,undecided,not applicable,not applicable,not applicable,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no intransitive use
ita1,vedere,see,perception,always veridical ,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,non gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes?,yes?,no (see file)***,yes?,yes?,no,no,yes,no intransitive use
ita1,importare (qualcosa a qualcuno) ,care ,predicates of relevance,typically veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,typical,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,always ignorance implying,gradable,neither,Q-to-P non distributive ,P-to-Q non distributive,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no intransitive use 
ita1,dimostrare ,prove ,ratification,typically veridical ,contradictory ,redundant***,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive*** ,non gradable ***,always belief-implying ,non gradable *** ,typically Q-to-P veridical,typically Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes ,no,no,yes,no,no,no,no,yes,no intransitive use
ita1,dire,say,communication,typically veridical ,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,undecided ,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,yes,yes,yes,??,yes,yes,yes,yes,no intransitive use 